ElementId,Category,Family,Type,Level,HostWallId,OriX,OriY,OriZ,Azimuth (°),Glass Area (m²)
384314,Windows,WINDOW_W_SOLDIER_COURSE_8505,,04,342234,0.1,-0.99,-0.0,174.12,0.0
384315,Windows,Arched (1),,01,342234,-0.1,0.99,0.0,354.12,0.0
384316,Windows,M_Casement 3x3 with Trim,,00,342234,-0.1,0.99,0.0,354.12,0.0
384301,Windows,Arched (1),,03,342234,-0.1,0.99,0.0,354.12,0.0
384302,Windows,WINDOW_W_SOLDIER_COURSE_8505,,04,342234,0.1,-0.99,-0.0,174.12,0.0
384303,Windows,WINDOW_W_SOLDIER_COURSE_8505,,04,342234,0.1,-0.99,-0.0,174.12,0.0
384304,Windows,Arched (1),,01,342234,-0.1,0.99,0.0,354.12,0.0
384305,Windows,M_Casement 3x3 with Trim,,00,342234,-0.1,0.99,0.0,354.12,0.0
384290,Windows,Arched (1),,03,342234,-0.1,0.99,0.0,354.12,0.0
384291,Windows,WINDOW_W_SOLDIER_COURSE_8505,,04,342234,0.1,-0.99,-0.0,174.12,0.0
384292,Windows,WINDOW_W_SOLDIER_COURSE_8505,,04,342234,0.1,-0.99,-0.0,174.12,0.0
384293,Windows,Arched (1),,01,342234,-0.1,0.99,0.0,354.12,0.0
384294,Windows,M_Casement 3x3 with Trim,,00,342234,-0.1,0.99,0.0,354.12,0.0
384279,Windows,Arched (1),,03,342234,-0.1,0.99,0.0,354.12,0.0
384280,Windows,WINDOW_W_SOLDIER_COURSE_8505,,04,342234,0.1,-0.99,-0.0,174.12,0.0
384281,Windows,WINDOW_W_SOLDIER_COURSE_8505,,04,342234,0.1,-0.99,-0.0,174.12,0.0
384282,Windows,Arched (1),,01,342234,-0.1,0.99,0.0,354.12,0.0
384283,Windows,M_Casement 3x3 with Trim,,00,342234,-0.1,0.99,0.0,354.12,0.0
384268,Windows,Arched (1),,03,342234,-0.1,0.99,0.0,354.12,0.0
384269,Windows,WINDOW_W_SOLDIER_COURSE_8505,,04,342234,0.1,-0.99,-0.0,174.12,0.0
384270,Windows,WINDOW_W_SOLDIER_COURSE_8505,,04,342234,0.1,-0.99,-0.0,174.12,0.0
384271,Windows,Arched (1),,01,342234,-0.1,0.99,0.0,354.12,0.0
384272,Windows,M_Casement 3x3 with Trim,,00,342234,-0.1,0.99,0.0,354.12,0.0
384257,Windows,Arched (1),,03,342234,-0.1,0.99,0.0,354.12,0.0
384258,Windows,WINDOW_W_SOLDIER_COURSE_8505,,04,342234,0.1,-0.99,-0.0,174.12,0.0
384259,Windows,WINDOW_W_SOLDIER_COURSE_8505,,04,342234,0.1,-0.99,-0.0,174.12,0.0
384260,Windows,Arched (1),,01,342234,-0.1,0.99,0.0,354.12,0.0
384261,Windows,M_Casement 3x3 with Trim,,00,342234,-0.1,0.99,0.0,354.12,0.0
384246,Windows,Arched (1),,03,342234,-0.1,0.99,0.0,354.12,0.0
384247,Windows,WINDOW_W_SOLDIER_COURSE_8505,,04,342234,0.1,-0.99,-0.0,174.12,0.0
384248,Windows,WINDOW_W_SOLDIER_COURSE_8505,,04,342234,0.1,-0.99,-0.0,174.12,0.0
384249,Windows,Arched (1),,01,342234,-0.1,0.99,0.0,354.12,0.0
384250,Windows,M_Casement 3x3 with Trim,,00,342234,-0.1,0.99,0.0,354.12,0.0
375328,Windows,Arched (1),,03,342236,-0.1,0.99,0.0,354.12,0.0
375333,Windows,WINDOW_W_SOLDIER_COURSE_8505,,04,342236,0.1,-0.99,-0.0,174.12,0.0
375334,Windows,WINDOW_W_SOLDIER_COURSE_8505,,04,342236,0.1,-0.99,-0.0,174.12,0.0
375337,Windows,Arched (1),,01,342236,-0.1,0.99,0.0,354.12,0.0
375340,Windows,M_Casement 3x3 with Trim,,00,342236,-0.1,0.99,0.0,354.12,0.0
375354,Windows,Arched (1),,03,342236,-0.1,0.99,0.0,354.12,0.0
375355,Windows,WINDOW_W_SOLDIER_COURSE_8505,,04,342236,0.1,-0.99,-0.0,174.12,0.0
375356,Windows,WINDOW_W_SOLDIER_COURSE_8505,,04,342236,0.1,-0.99,-0.0,174.12,0.0
375357,Windows,Arched (1),,01,342236,-0.1,0.99,0.0,354.12,0.0
375358,Windows,M_Casement 3x3 with Trim,,00,342236,-0.1,0.99,0.0,354.12,0.0
375370,Windows,Arched (1),,03,342236,-0.1,0.99,0.0,354.12,0.0
375371,Windows,WINDOW_W_SOLDIER_COURSE_8505,,04,342236,0.1,-0.99,-0.0,174.12,0.0
375372,Windows,WINDOW_W_SOLDIER_COURSE_8505,,04,342236,0.1,-0.99,-0.0,174.12,0.0
375373,Windows,Arched (1),,01,342236,-0.1,0.99,0.0,354.12,0.0
375374,Windows,M_Casement 3x3 with Trim,,00,342236,-0.1,0.99,0.0,354.12,0.0
384673,Windows,M_Casement 3x3 with Trim,,01,342236,-0.1,0.99,0.0,354.12,0.0
384763,Windows,M_Casement 3x3 with Trim,,01,342236,-0.1,0.99,0.0,354.12,0.0
350614,Windows,M_Sliding with Trim,,05,342319,0.1,-0.99,-0.0,174.12,0.0
350823,Windows,M_Sliding with Trim,,05,342319,0.1,-0.99,-0.0,174.12,0.0
350544,Windows,M_Sliding with Trim,,05,342319,0.1,-0.99,-0.0,174.12,0.0
350665,Windows,M_Sliding with Trim,,05,342319,0.1,-0.99,-0.0,174.12,0.0
350660,Windows,M_Sliding with Trim,,05,342319,0.1,-0.99,-0.0,174.12,0.0
350655,Windows,M_Sliding with Trim,,05,342319,0.1,-0.99,-0.0,174.12,0.0
350650,Windows,M_Sliding with Trim,,05,342319,0.1,-0.99,-0.0,174.12,0.0
350645,Windows,M_Sliding with Trim,,05,342319,0.1,-0.99,-0.0,174.12,0.0
350640,Windows,M_Sliding with Trim,,05,342319,0.1,-0.99,-0.0,174.12,0.0
350635,Windows,M_Sliding with Trim,,05,342319,0.1,-0.99,-0.0,174.12,0.0
350822,Windows,M_Sliding with Trim,,05,342319,0.1,-0.99,-0.0,174.12,0.0
350824,Windows,M_Sliding with Trim,,05,342319,0.1,-0.99,-0.0,174.12,0.0
350825,Windows,M_Sliding with Trim,,05,342319,0.1,-0.99,-0.0,174.12,0.0
350826,Windows,M_Sliding with Trim,,05,342319,0.1,-0.99,-0.0,174.12,0.0
350827,Windows,M_Sliding with Trim,,05,342319,0.1,-0.99,-0.0,174.12,0.0
350828,Windows,M_Sliding with Trim,,05,342319,0.1,-0.99,-0.0,174.12,0.0
350829,Windows,M_Sliding with Trim,,05,342319,0.1,-0.99,-0.0,174.12,0.0
350830,Windows,M_Sliding with Trim,,05,342319,0.1,-0.99,-0.0,174.12,0.0
350859,Windows,M_Sliding with Trim,,06,342319,0.1,-0.99,-0.0,174.12,0.0
350860,Windows,M_Sliding with Trim,,06,342319,0.1,-0.99,-0.0,174.12,0.0
350861,Windows,M_Sliding with Trim,,06,342319,0.1,-0.99,-0.0,174.12,0.0
350862,Windows,M_Sliding with Trim,,06,342319,0.1,-0.99,-0.0,174.12,0.0
350863,Windows,M_Sliding with Trim,,06,342319,0.1,-0.99,-0.0,174.12,0.0
350864,Windows,M_Sliding with Trim,,06,342319,0.1,-0.99,-0.0,174.12,0.0
350865,Windows,M_Sliding with Trim,,06,342319,0.1,-0.99,-0.0,174.12,0.0
350866,Windows,M_Sliding with Trim,,06,342319,0.1,-0.99,-0.0,174.12,0.0
350867,Windows,M_Sliding with Trim,,06,342319,0.1,-0.99,-0.0,174.12,0.0
350868,Windows,M_Sliding with Trim,,06,342319,0.1,-0.99,-0.0,174.12,0.0
350869,Windows,M_Sliding with Trim,,06,342319,0.1,-0.99,-0.0,174.12,0.0
350870,Windows,M_Sliding with Trim,,06,342319,0.1,-0.99,-0.0,174.12,0.0
350871,Windows,M_Sliding with Trim,,06,342319,0.1,-0.99,-0.0,174.12,0.0
350872,Windows,M_Sliding with Trim,,06,342319,0.1,-0.99,-0.0,174.12,0.0
350873,Windows,M_Sliding with Trim,,06,342319,0.1,-0.99,-0.0,174.12,0.0
350874,Windows,M_Sliding with Trim,,06,342319,0.1,-0.99,-0.0,174.12,0.0
350875,Windows,M_Sliding with Trim,,06,342319,0.1,-0.99,-0.0,174.12,0.0
350876,Windows,M_Sliding with Trim,,06,342319,0.1,-0.99,-0.0,174.12,0.0
350881,Windows,M_Sliding with Trim,,07,342319,0.1,-0.99,-0.0,174.12,0.0
350882,Windows,M_Sliding with Trim,,07,342319,0.1,-0.99,-0.0,174.12,0.0
350883,Windows,M_Sliding with Trim,,07,342319,0.1,-0.99,-0.0,174.12,0.0
350884,Windows,M_Sliding with Trim,,07,342319,0.1,-0.99,-0.0,174.12,0.0
350885,Windows,M_Sliding with Trim,,07,342319,0.1,-0.99,-0.0,174.12,0.0
350886,Windows,M_Sliding with Trim,,07,342319,0.1,-0.99,-0.0,174.12,0.0
350887,Windows,M_Sliding with Trim,,07,342319,0.1,-0.99,-0.0,174.12,0.0
350888,Windows,M_Sliding with Trim,,07,342319,0.1,-0.99,-0.0,174.12,0.0
350889,Windows,M_Sliding with Trim,,07,342319,0.1,-0.99,-0.0,174.12,0.0
350890,Windows,M_Sliding with Trim,,07,342319,0.1,-0.99,-0.0,174.12,0.0
350891,Windows,M_Sliding with Trim,,07,342319,0.1,-0.99,-0.0,174.12,0.0
350892,Windows,M_Sliding with Trim,,07,342319,0.1,-0.99,-0.0,174.12,0.0
350893,Windows,M_Sliding with Trim,,07,342319,0.1,-0.99,-0.0,174.12,0.0
350894,Windows,M_Sliding with Trim,,07,342319,0.1,-0.99,-0.0,174.12,0.0
350895,Windows,M_Sliding with Trim,,07,342319,0.1,-0.99,-0.0,174.12,0.0
350896,Windows,M_Sliding with Trim,,07,342319,0.1,-0.99,-0.0,174.12,0.0
350897,Windows,M_Sliding with Trim,,07,342319,0.1,-0.99,-0.0,174.12,0.0
350898,Windows,M_Sliding with Trim,,07,342319,0.1,-0.99,-0.0,174.12,0.0
350903,Windows,M_Sliding with Trim,,08,342319,0.1,-0.99,-0.0,174.12,0.0
350904,Windows,M_Sliding with Trim,,08,342319,0.1,-0.99,-0.0,174.12,0.0
350905,Windows,M_Sliding with Trim,,08,342319,0.1,-0.99,-0.0,174.12,0.0
350906,Windows,M_Sliding with Trim,,08,342319,0.1,-0.99,-0.0,174.12,0.0
350907,Windows,M_Sliding with Trim,,08,342319,0.1,-0.99,-0.0,174.12,0.0
350908,Windows,M_Sliding with Trim,,08,342319,0.1,-0.99,-0.0,174.12,0.0
350909,Windows,M_Sliding with Trim,,08,342319,0.1,-0.99,-0.0,174.12,0.0
350910,Windows,M_Sliding with Trim,,08,342319,0.1,-0.99,-0.0,174.12,0.0
350911,Windows,M_Sliding with Trim,,08,342319,0.1,-0.99,-0.0,174.12,0.0
350912,Windows,M_Sliding with Trim,,08,342319,0.1,-0.99,-0.0,174.12,0.0
350913,Windows,M_Sliding with Trim,,08,342319,0.1,-0.99,-0.0,174.12,0.0
350914,Windows,M_Sliding with Trim,,08,342319,0.1,-0.99,-0.0,174.12,0.0
350915,Windows,M_Sliding with Trim,,08,342319,0.1,-0.99,-0.0,174.12,0.0
350916,Windows,M_Sliding with Trim,,08,342319,0.1,-0.99,-0.0,174.12,0.0
350917,Windows,M_Sliding with Trim,,08,342319,0.1,-0.99,-0.0,174.12,0.0
350918,Windows,M_Sliding with Trim,,08,342319,0.1,-0.99,-0.0,174.12,0.0
350919,Windows,M_Sliding with Trim,,08,342319,0.1,-0.99,-0.0,174.12,0.0
350920,Windows,M_Sliding with Trim,,08,342319,0.1,-0.99,-0.0,174.12,0.0
355915,Windows,M_Fixed,,06,342319,0.1,-0.99,-0.0,174.12,0.0
355916,Windows,M_Fixed,,06,342319,0.1,-0.99,-0.0,174.12,0.0
355917,Windows,M_Fixed,,06,342319,0.1,-0.99,-0.0,174.12,0.0
355921,Windows,M_Fixed,,07,342319,0.1,-0.99,-0.0,174.12,0.0
355922,Windows,M_Fixed,,07,342319,0.1,-0.99,-0.0,174.12,0.0
355923,Windows,M_Fixed,,07,342319,0.1,-0.99,-0.0,174.12,0.0
355927,Windows,M_Fixed,,08,342319,0.1,-0.99,-0.0,174.12,0.0
355928,Windows,M_Fixed,,08,342319,0.1,-0.99,-0.0,174.12,0.0
355929,Windows,M_Fixed,,08,342319,0.1,-0.99,-0.0,174.12,0.0
