Element_ID,Wall_Element_ID,Building_Level,Orientation,Glass_Area_m2,Window_Width_m,Window_Height_m,Azimuth_degrees,Annual_Radiation_kWh_m2,PV_Suitable,BIPV_Technology,BIPV_Efficiency_%,BIPV_Transparency_%,BIPV_Power_Density_W_m2,System_Capacity_kW,Annual_Generation_kWh,Cost_per_m2_EUR,Total_System_Cost_EUR,Payback_Period_Years,Solution_Number,Solution_Status
# Project: TU Berlin Building H - PhD final calculations.
# Electricity Rate Used: 0.315 EUR/kWh

350864,342319,6,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
350865,342319,6,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
350866,342319,6,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
350867,342319,6,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
350868,342319,6,South,10.68,4.0,2.67,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,0.77,747.0,298.0,3177.0,13.5,Solution_567,OPTIMAL_SOLUTION
350869,342319,6,South,10.68,4.0,2.67,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,0.77,747.0,298.0,3177.0,13.5,Solution_567,OPTIMAL_SOLUTION
350870,342319,6,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
350871,342319,6,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
350872,342319,6,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
350873,342319,6,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
350874,342319,6,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
350875,342319,6,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
350876,342319,6,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
350881,342319,7,South,10.68,4.0,2.67,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,0.77,747.0,298.0,3177.0,13.5,Solution_567,OPTIMAL_SOLUTION
350882,342319,7,South,10.68,4.0,2.67,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,0.77,747.0,298.0,3177.0,13.5,Solution_567,OPTIMAL_SOLUTION
350883,342319,7,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
350884,342319,7,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
350885,342319,7,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
350886,342319,7,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
350887,342319,7,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
350888,342319,7,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
350889,342319,7,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
350890,342319,7,South,10.68,4.0,2.67,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,0.77,747.0,298.0,3177.0,13.5,Solution_567,OPTIMAL_SOLUTION
350891,342319,7,South,10.68,4.0,2.67,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,0.77,747.0,298.0,3177.0,13.5,Solution_567,OPTIMAL_SOLUTION
350892,342319,7,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
350893,342319,7,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
350894,342319,7,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
